kreis,org
09178,MVV
09179,MVV
09180,RVO
09181,LVG
09182,RVO
09183,VLMÜ
09184,MVV
09185,NDO
09186,PAF
09187,RVO
09188,MVV
09189,RVO
09190,RVO
09261,LAVV
09262,swp
09263,RBO
09271,RBO
09272,RBO
09273,RBO
09274,LAVV
09275,RBO
09276,RBO
09277,RBO
09278,RBO
09279,RBO
09361,VGN
09362,RVV
09363,WEN
09371,VGN
09372,CHA
09373,VGN
09374,RBO
09375,RVV
09376,RBO
09377,RBO
09461,VGN
09462,VGN
09463,COB
09464,HOF
09471,VGN
09472,VGN
09473,OVF
09474,VGN
09475,RBO
09476,OVF
09477,OVF
09478,VGN
09479,RBO
09561,VGN
09562,VGN
09563,VGN
09564,VGN
09565,VGN
09571,VGN
09572,VGN
09573,VGN
09574,VGN
09575,VGN
09576,VGN
09577,VGN
09661,VAB
09662,OVF
09663,VVM
09671,VAB
09672,OVF
09673,OVF
09674,OVF
09675,VVM
09676,VAB
09677,VVM
09678,OVF
09679,VVM
09761,AVTV
09762,OMP
09763,OMP
09764,OMP
09771,AVTV
09772,AVTV
09773,OMP
09774,OMP
09775,DING
09776,OMP
09777,OMP
09778,OMP
09779,OMP
09780,mona
10041,saarVV
10042,saarVV
10043,saarVV
10044,saarVV
10045,saarVV
10046,saarVV
11000,VBB
12051,VBB
12052,VBB
12053,VBB
12054,VBB
12060,VBB
12061,VBB
12062,VBB
12063,VBB
12064,VBB
12065,VBB
12066,VBB
12067,VBB
12068,VBB
12069,VBB
12070,VBB
12071,VBB
12072,VBB
12073,VBB
13003,VVW
13004,VWM
13071,VMO
13072,VVW
13073,VVR
13074,VWM
13075,VMO
13076,VWM
14511,VMS
14521,VMS
14522,VMS
14523,VVV
14524,VMS
14612,VVO
14625,VVO
14625,ZVON
14626,ZVON
14627,VVO
14628,VVO
14713,LVB
14729,MDV
14730,MDV
15001,dessau
15002,MDV
15003,marego
15081,SAW
15082,ABI
15083,marego
15084,MDV
15085,VTO
15086,marego
15087,MSH
15088,MDV
15089,marego
15090,SDL
15091,NWB
16051,VMT
16052,VMT
16053,VMT
16054,IVRPV
16055,VMT
16056,VGW
16061,ew
16062,NDH
16063,VGW
16064,RS
16065,RS
16066,IVRPV
16067,VMT
16068,VWG
16069,IVRPV
16070,IVRPV
16071,VMT
16072,KomBus
16072,IVRPV
16073,KomBus
16074,VMT
16075,KomBus
16076,VGLG
16076,VMT
16077,MDV
